,GPIN,Street Address,Zip Code,Neighborhood,Land Value,Improvement Value,Total Value,Land USE (Y/N),Sale Date,Sale Price,Document Number,Deed Book,Deed Page,Location 1
273179,14862268810000,3630 Campion Ave,23462-6928,Chimney Hill,66000.0,$123600,189600.0,No,01/23/2004,140000.0,200312170210289,,,"3630 Campion Ave
Virginia Beach, VA 23462-6928
(36.808554, -76.109651)"
347824,24075886370000,717 Victor Rd,23454-3823,Hilltop Manor,105000.0,$242700,347700.0,No,06/01/2001,60810.0,000000000000000,4400.0,1916.0,"717 Victor Rd
Virginia Beach, VA 23454-3823
(36.850714, -76.028879)"
207534,14979857650000,2400 Jenan Rd,23454-3309,Kenstock,124700.0,$205300,330000.0,No,08/09/1977,61275.0,000000000000000,1689,715.0,"2400 Jenan Rd
Virginia Beach, VA 23454-3309
(36.851262, -76.050371)"
152495,14566056520000,5857 Beechwalk Dr,23464-5022,Level Green Site 3 Sf,81000.0,$129300,210300.0,No,10/30/2009,240000.0,20091030001268500,,,"5857 Beechwalk Dr
Virginia Beach, VA 23464-5022
(36.80467, -76.199123)"
173152,14933578040000,2801 Hyde Ln,23456-8228,Courthouse Estates Multi Neigh,120000.0,$213100,333100.0,No,02/28/2005,319400.0,200501270014409,,,"2801 Hyde Ln
Virginia Beach, VA 23456-8228
(36.734072, -76.074088)"
229398,14785808060000,1325 Independence Blvd,23455-4909,Lake Smith Terrace,113800.0,$169700,283500.0,No,09/02/2014,0.0,20140902000823210,,,"1325 Independence Blvd
Virginia Beach, VA 23455-4909
(36.88086, -76.133234)"
121594,14682298020000,5639 Dodington Ct,23462-1036,Lake Edward,32200.0,$64200,96400.0,No,05/17/2004,71000.0,200403250047372,,,"5639 Dodington Ct
Virginia Beach, VA 23462-1036
(36.865422, -76.175453)"
348363,14854786070000,3648 Sylvan Ct,23453-1819,Green Run Th,40000.0,$77100,117100.0,No,01/28/2016,0.0,20160128000072700,,,"3648 Sylvan Ct
Virginia Beach, VA 23453-1819
(36.794544, -76.102368)"
325419,14558175270000,1909 Centerville Tpke,23464,Indian River,443100.0,$233900,677000.0,No,06/26/2006,473376.0,20060614000897460,,,"1909 Centerville Tpke
Virginia Beach, VA 23464
(36.779717, -76.19195)"
16786,24171731570000,452 Garcia Dr,23454-4851,Oceana Beechwood Gardens,81000.0,$157400,238400.0,No,11/15/2005,279900.0,20051026001729960,,,"452 Garcia Dr
Virginia Beach, VA 23454-4851
(36.846198, -76.010635)"
423944,14692336800000,1500 Janke Rd,23455-3418,Diamond Spring / Grdnwood Park,89300.0,$62000,151300.0,No,08/23/1995,0.0,000000000000000,3530,1903.0,"1500 Janke Rd
Virginia Beach, VA 23455-3418
(36.894986, -76.176311)"
447296,14856648820000,1475 Poinsetta Arch,23453-1926,Green Run Sf,75000.0,$142300,217300.0,No,04/04/1994,0.0,000000000000000,3371,1471.0,"1475 Poinsetta Arch
Virginia Beach, VA 23453-1926
(36.792085, -76.096904)"
215495,14549932780000,1968 Arlington Arch Dr,23464-8707,Alexandria,75000.0,$185800,260800.0,No,09/17/1987,188000.0,000000000000000,2673,1808.0,"1968 Arlington Arch Dr
Virginia Beach, VA 23464-8707
(36.773191, -76.190557)"
317016,14963044530000,1240 New Land Dr,23453-3121,Magic Hollow,57400.0,$93700,151100.0,No,09/25/2014,140900.0,20140925000909680,,,"1240 New Land Dr
Virginia Beach, VA 23453-3121
(36.801415, -76.072833)"
276929,24166157810000,,,Campground,644300.0,$0,644300.0,No,09/19/2014,0.0,20140919000891210,,,"Virginia Beach, VA
(36.845117, -75.975518)"
418568,14854975570000,3695 Ship Chandlers Wharf,23453-2117,Green Run Th,40000.0,$97200,137200.0,No,01/31/1989,58900.0,000000000000000,2802,1090.0,"3695 Ship Chandlers Wharf
Virginia Beach, VA 23453-2117
(36.799875, -76.102509)"
367318,24089032400000,808 Deary Ln,23451-5914,Laurel Manor,105000.0,$107800,212800.0,No,03/19/1998,82500.0,000000000000000,3840.0,2113.0,"808 Deary Ln
Virginia Beach, VA 23451-5914
(36.854614, -76.017284)"
371193,14671138690000,5549 Pontiac Rd,23462-3328,Arrowhead,102500.0,$112300,214800.0,No,10/31/2016,180000.0,20161031000981850,,,"5549 Pontiac Rd
Virginia Beach, VA 23462-3328
(36.835415, -76.181494)"
42861,14661290000000,1104 Taylor Rd,23464-4080,Whitehurst Grove/Woods/Manor,85000.0,$130400,215400.0,No,04/02/2015,224900.0,20150403000292080,,,"1104 Taylor Rd
Virginia Beach, VA 23464-4080
(36.808046, -76.180285)"
397145,14549921680000,1973 Arlington Arch Dr,23464-8722,Alexandria,75000.0,$159700,234700.0,No,12/21/2012,0.0,20121221001462280,,,"1973 Arlington Arch Dr
Virginia Beach, VA 23464-8722
(36.773084, -76.190518)"
294169,15705110070000,4801 Zivo Ct,23455,Chesapeake Beach,205800.0,$265400,471200.0,No,05/10/2006,0.0,20060320000421730,,,"4801 Zivo Ct
Virginia Beach, VA 23455
(36.914534, -76.132325)"
290825,24143368080000,2512 Highfield Ct,23454-6301,Red Mill/Fox Chase,115000.0,$191200,306200.0,No,12/28/1998,141900.0,000000000000000,3974.0,2109.0,"2512 Highfield Ct
Virginia Beach, VA 23454-6301
(36.754875, -76.005712)"
441613,14887140710000,633 Berkley Pl,23452-4501,Kings Grant Sec 4-5,188000.0,$108300,296300.0,No,06/09/2004,211000.0,200405190078484,,,"633 Berkley Pl
Virginia Beach, VA 23452-4501
(36.858291, -76.091558)"
116620,14860180890000,4032 Foxwood Dr,23462-5209,Timberlake Sec 1-12,74500.0,$126400,200900.0,No,10/29/2002,119500.0,200209193036143,,,"4032 Foxwood Dr
Virginia Beach, VA 23462-5209
(36.804053, -76.115923)"
198042,24072847200000,690 Biltmore Dr,23454-3452,Washington Square Townhouses,57000.0,$88500,145500.0,No,01/22/2010,159900.0,20100122000069900,,,"690 Biltmore Dr
Virginia Beach, VA 23454-3452
(36.851114, -76.040846)"
424341,24091142930000,1552 Godfrey Ln,23454-1365,Reserve,264000.0,$379600,643600.0,No,08/11/1998,0.0,000000000000000,3933,1072.0,"1552 Godfrey Ln
Virginia Beach, VA 23454-1365
(36.885801, -76.043197)"
282474,14757579850054,1517 Yountville Ct,23456-1494,Wynd Crest Condo,68000.0,$156400,224400.0,No,02/07/2002,0.0,000000000000000,4617.0,1087.0,"1517 Yountville Ct
Virginia Beach, VA 23456-1494
(36.791017, -76.127124)"
447405,14857605610000,3557 Crofts Pride Dr,23453-8516,Buckner Farms,103000.0,$180400,283400.0,No,07/01/2002,171500.0,000000000000000,4697,1782.0,"3557 Crofts Pride Dr
Virginia Beach, VA 23453-8516
(36.791289, -76.094906)"
12243,14862638880000,3913 Forest Glen Rd,23452-2908,Windsor Oaks West,84000.0,$117300,201300.0,No,09/23/2002,0.0,200207183003329,,,"3913 Forest Glen Rd
Virginia Beach, VA 23452-2908
(36.820246, -76.110186)"
155235,24197174740000,5912 Atlantic Ave,23451,North Va Beach,320100.0,$434800,754900.0,No,08/29/2013,425000.0,20130829001041060,,,"5912 Atlantic Ave
Virginia Beach, VA 23451
(36.884959, -75.98705)"
324890,24130364520000,1824 Princess Anne Rd,23456,South Princess Anne,308400.0,$249500,557900.0,No,10/12/2001,0.0,000000000000000,4494.0,2041.0,"1824 Princess Anne Rd
Virginia Beach, VA 23456
(36.726254, -76.017216)"
118790,14666702440000,600 Cindy Ct,23464-2502,Fairfield,124000.0,$154100,278100.0,No,05/11/1999,0.0,000000000000000,4049.0,1040.0,"600 Cindy Ct
Virginia Beach, VA 23464-2502
(36.822034, -76.166245)"
345470,14773761300000,4620 Crown Point Ln,23462-2206,Pembroke Manor,85500.0,$112400,197900.0,No,02/01/1993,35000.0,000000000000000,3177.0,2129.0,"4620 Crown Point Ln
Virginia Beach, VA 23462-2206
(36.848512, -76.139168)"
33556,14760604400000,688 Brookeway Ct,23464-2936,Brookefield Crossing,120000.0,$237400,357400.0,No,09/08/2006,405000.0,20060706001023580,,,"688 Brookeway Ct
Virginia Beach, VA 23464-2936
(36.819822, -76.152647)"
400984,14988397570000,2409 Blue Castle Ln,23454-1921,Trant Berkshire Area,207500.0,$217200,424700.0,No,02/05/1998,161000.0,000000000000000,3821,1795.0,"2409 Blue Castle Ln
Virginia Beach, VA 23454-1921
(36.865608, -76.052043)"
125406,14684384770049,801 Gas Light Ln,23462-1233,Lake Cypress Condo,42000.0,$74500,116500.0,No,01/10/1994,73872.0,000000000000000,3331.0,2158.0,"801 Gas Light Ln
Virginia Beach, VA 23462-1233
(36.865622, -76.16845)"
18050,14640705750000,5205 Mima Cir,23464-8239,Charlestowne Lakes So R75,92000.0,$181600,273600.0,No,06/21/1983,88200.0,000000000000000,2264.0,1349.0,"5205 Mima Cir
Virginia Beach, VA 23464-8239
(36.768567, -76.187787)"
425568,14870606420000,411 Sheepshead Ln,23452-1870,Thalia Wayside Townhms,57000.0,$120400,177400.0,No,08/28/1995,77000.0,000000000000000,3532,882.0,"411 Sheepshead Ln
Virginia Beach, VA 23452-1870
(36.846824, -76.117281)"
204003,14660201510000,927 Strickland Blvd,23464-3930,Cedar Hill,91000.0,$129100,220100.0,No,12/15/1986,78199.0,000000000000000,2575,1427.0,"927 Strickland Blvd
Virginia Beach, VA 23464-3930
(36.808385, -76.186646)"
32137,14783286730000,,,Witchduck Rd,222200.0,$0,222200.0,No,09/15/1981,1000.0,000000000000000,2159.0,409.0,"Virginia Beach, VA
(36.845117, -75.975518)"
420327,15900014443290,2313 Beach Haven Dr 101,23451-1263,Lynnhaven Beach Condo,117000.0,$161200,278200.0,No,02/02/1994,144900.0,000000000000000,3343,840.0,"2313 Beach Haven Dr 101
Virginia Beach, VA 23451-1263
(36.911429, -76.080706)"
105821,24131961110000,2020 Princess Anne Rd,23456-4014,Princess Anne,1001300.0,$227400,1228700.0,No,02/06/1996,0.0,000000000000000,90.0,2417.0,"2020 Princess Anne Rd
Virginia Beach, VA 23456-4014
(36.744836, -76.016013)"
310027,14782227120000,824 Stell Ln,23455-5861,Aragona Village,75900.0,$67300,143200.0,No,03/01/1978,27000.0,000000000000000,1755.0,784.0,"824 Stell Ln
Virginia Beach, VA 23455-5861
(36.864159, -76.144272)"
131885,14683307020000,840 N Grosvenor Ct,23462-1014,Weblin Place,37000.0,$83600,120600.0,No,04/10/1989,56900.0,000000000000000,2817,684.0,"840 N Grosvenor Ct
Virginia Beach, VA 23462-1014
(36.867465, -76.175174)"
457287,14875973200000,3612 Sea Gull Rd,23452-3718,Malibu Kings Forest,105000.0,$144600,249600.0,No,04/13/1995,107500.0,000000000000000,3488,1454.0,"3612 Sea Gull Rd
Virginia Beach, VA 23452-3718
(36.853686, -76.097766)"
144396,24071516690000,,,Laskin Rd,250800.0,$0,250800.0,No,05/03/1993,0.0,000000000000000,3210,1483.0,"Virginia Beach, VA
(36.845117, -75.975518)"
361350,14469795110000,1001 Neptune Ave,23464-1729,Macdonald Park,71000.0,$130100,201100.0,No,11/30/2001,105000.0,000000000000000,4541.0,2081.0,"1001 Neptune Ave
Virginia Beach, VA 23464-1729
(36.824235, -76.221116)"
83240,14961082360000,1220 Warwick Dr,23453-3021,Scarborough Sq-Multi Th,45000.0,$87600,132600.0,No,09/22/1999,61976.0,000000000000000,4112.0,1655.0,"1220 Warwick Dr
Virginia Beach, VA 23453-3021
(36.801335, -76.078786)"
246274,14642924110000,1957 Bizzone Cir,23464-1543,Wood Bridge Pointe Townhomes,76000.0,$138500,214500.0,No,08/21/2014,0.0,20140821000783200,,,"1957 Bizzone Cir
Virginia Beach, VA 23464-1543
(36.773163, -76.180347)"
114005,24240592140000,2356 Tierra Monte Arch,23456,Lagomar Section 7,156000.0,$503400,659400.0,No,12/28/2004,589630.0,200412010189260,,,"2356 Tierra Monte Arch
Virginia Beach, VA 23456
(36.757606, -75.980474)"
196917,24185895200000,704 Crystal Ln,23451-3738,Bay Colony Waterfront,751700.0,$582800,1334500.0,No,05/05/2014,0.0,20140505000389880,,,"704 Crystal Ln
Virginia Beach, VA 23451-3738
(36.876071, -75.994605)"
385079,14953130130000,3060 Barberry Ln,23453-5934,Landstown Meadows,87400.0,$182100,269500.0,No,07/27/2011,0.0,20110727000758560,,,"3060 Barberry Ln
Virginia Beach, VA 23453-5934
(36.77559, -76.074185)"
61105,14989626350000,1294 Brigantine Ct,23454-2011,Laurel Cove,178500.0,$272400,450900.0,No,10/22/1973,34400.0,000000000000000,1384.0,40.0,"1294 Brigantine Ct
Virginia Beach, VA 23454-2011
(36.873341, -76.05115)"
198586,14895851462075,2075 Tazewell Rd,23455-2929,Ocean Park Condo,177400.0,$257000,434400.0,No,08/13/2004,0.0,200408130127714,,,"2075 Tazewell Rd
Virginia Beach, VA 23455-2929
(36.905703, -76.096596)"
94500,14783049770000,4635 Merrimac Ln,23455-6365,Bayside Villas,44000.0,$86400,130400.0,No,11/02/1984,67550.0,000000000000000,2371.0,1029.0,"4635 Merrimac Ln
Virginia Beach, VA 23455-6365
(36.859495, -76.139419)"
426767,24144850950000,2100 Tennyson Ct,23454-6663,Ocean Lakes East,102100.0,$193500,295600.0,No,11/15/2006,335000.0,20061006001528520,,,"2100 Tennyson Ct
Virginia Beach, VA 23454-6663
(36.766181, -76.002156)"
228607,14564895280000,641 Charlecote Dr,23464-1920,Riverton,102500.0,$177300,279800.0,No,05/13/1971,30460.0,000000000000000,1205,86.0,"641 Charlecote Dr
Virginia Beach, VA 23464-1920
(36.826601, -76.203494)"
362086,14657844170000,5084 Montrose Dr,23464-6413,Indian Lakes Sf (2),72000.0,$156400,228400.0,No,09/17/1998,101700.0,000000000000000,3924.0,1700.0,"5084 Montrose Dr
Virginia Beach, VA 23464-6413
(36.797728, -76.162208)"
178551,14978759870000,405 Burr Oak Cir,23454-3332,Deerwood Trace,54000.0,$99000,153000.0,No,02/24/1998,48500.0,000000000000000,3832,486.0,"405 Burr Oak Cir
Virginia Beach, VA 23454-3332
(36.849133, -76.053661)"
294741,14763307750000,4694 Steeplechase Dr,23464-3210,Dunbarton,100000.0,$164700,264700.0,No,08/30/2004,0.0,200407140107641,,,"4694 Steeplechase Dr
Virginia Beach, VA 23464-3210
(36.811833, -76.142424)"
272888,14673964999050,5676 Landfall Dr,23462-7706,Newpointe Condo,16500.0,$35000,51500.0,No,04/24/1991,49950.0,000000000000000,2981.0,1128.0,"5676 Landfall Dr
Virginia Beach, VA 23462-7706
(36.855926, -76.174092)"
8894,14875173630000,3608 Adirondack Ct,23452-3337,Windsor Woods,80400.0,$110900,191300.0,No,12/20/1988,75000.0,000000000000000,2793.0,949.0,"3608 Adirondack Ct
Virginia Beach, VA 23452-3337
(36.831799, -76.098278)"
226938,24156393050000,1760 Pathfinder Dr,23454-5743,Upton Estates,96800.0,$139500,236300.0,No,04/16/1996,99900.0,000000000000000,3605,1803.0,"1760 Pathfinder Dr
Virginia Beach, VA 23454-5743
(36.780604, -75.993748)"
154348,24045421550000,2288 Childeric Rd,23456-7737,Princess Anne,81300.0,$442900,524200.0,No,07/05/1776,0.0,000000000000000,1865,766.0,"2288 Childeric Rd
Virginia Beach, VA 23456-7737
(36.756107, -76.034675)"
127640,14858531400000,3524 Criollo Dr,23453-2215,Buckner Farms,108000.0,$203700,311700.0,No,03/26/2008,336000.0,20080327000342740,,,"3524 Criollo Dr
Virginia Beach, VA 23453-2215
(36.786971, -76.090806)"
5956,14863768510000,529 Turtle Cove Rd,23452-2926,Windsor Oaks West,80500.0,$143100,223600.0,No,03/27/1972,28400.0,000000000000000,1264.0,22.0,"529 Turtle Cove Rd
Virginia Beach, VA 23452-2926
(36.822649, -76.105616)"
56678,14853635717500,3501 Remington Ct,23453-1875,Green Run Condos,27000.0,$58200,85200.0,No,05/09/2005,114000.0,200503240044248,,,"3501 Remington Ct
Virginia Beach, VA 23453-1875
(36.791467, -76.107656)"
21292,24146815380000,2060 Bierce Dr,23454-7216,Red Mill Farm South Shore Est,151800.0,$337800,489600.0,No,11/05/2003,398000.0,200310060161843,,,"2060 Bierce Dr
Virginia Beach, VA 23454-7216
(36.767654, -75.996442)"
467657,14852897960000,1317 Riverside Dr,23453-1704,Green Run Sf,75000.0,$109000,184000.0,No,07/19/2017,185000.0,20170719000604830,,,"1317 Riverside Dr
Virginia Beach, VA 23453-1704
(36.797599, -76.108735)"
376019,14779698010000,4149 Rundel Ln,23452-1821,Thalia Manor,86000.0,$139700,225700.0,No,05/21/2013,0.0,20130521000584050,,,"4149 Rundel Ln
Virginia Beach, VA 23452-1821
(36.847569, -76.117776)"
77454,24046854890000,2005 Melstone Dr,23456-5275,Hunt Club Forest And West,120300.0,$184500,304800.0,No,12/06/1994,123000.0,000000000000000,3457.0,941.0,"2005 Melstone Dr
Virginia Beach, VA 23456-5275
(36.767845, -76.029003)"
453462,24103062250000,4856 Morris Neck Rd,23457-1435,Pungo,148600.0,$222600,371200.0,No,03/23/1988,0.0,000000000000000,2718,287.0,"4856 Morris Neck Rd
Virginia Beach, VA 23457-1435
(36.634641, -76.010382)"
423795,14657557340000,1574 Jameson Dr,23464-6490,Indian Lakes Th,47000.0,$82800,129800.0,No,12/27/2005,152000.0,20051212001980580,,,"1574 Jameson Dr
Virginia Beach, VA 23464-6490
(36.790764, -76.161772)"
121692,24177411110382,1114 Marshview Ct,23451,Shadow Lawn Lands End Condo,68000.0,$82300,150300.0,No,07/10/2002,69000.0,000000000000000,4709.0,1882.0,"1114 Marshview Ct
Virginia Beach, VA 23451
(36.837614, -75.991145)"
405292,24174343000015,1168 Jensen Dr,23451,Industrial Condo,99500.0,$324500,424000.0,No,06/11/1997,101500.0,000000000000000,3740,1143.0,"1168 Jensen Dr
Virginia Beach, VA 23451
(36.83516, -76.002802)"
